forecast_id,canonical_name,location_name,model_version_name,model_algorithm,forecast_engine_version,forecast_origin_date,forecast_week_start,horizon_weeks,current_reference_price,expected_price,lower_bound,upper_bound,outlook,directional_outlook_label,quality_status,generated_at
Cencaru_20260907,Cencaru,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,10,10,9.1,10.9,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Cencaru_20260914,Cencaru,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,10,10,9.1,10.9,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Demuduk_Cupak_Cermin_20260824,Demuduk / Cupak / Cermin,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,32,32.55,31.64,33.46,AROUND_CURRENT_LEVELS,Likely to increase,VALID,2026-08-30T22:48:38Z
Demuduk_Cupak_Cermin_20260831,Demuduk / Cupak / Cermin,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,32,32.55,31.59,33.51,AROUND_CURRENT_LEVELS,Likely to increase,VALID,2026-08-30T22:48:38Z
Demuduk_Cupak_Cermin_20260907,Demuduk / Cupak / Cermin,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,32,32.55,31.54,33.56,AROUND_CURRENT_LEVELS,Likely to increase,VALID,2026-08-30T22:48:38Z
Demuduk_Cupak_Cermin_20260914,Demuduk / Cupak / Cermin,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,32,32.55,31.49,33.6,AROUND_CURRENT_LEVELS,Likely to increase,VALID,2026-08-30T22:48:38Z
Ikan_Merah_20260824,Ikan Merah,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,53.495000000000005,53.39,52.39,54.39,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Ikan_Merah_20260831,Ikan Merah,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,53.495000000000005,53.47,52.42,54.52,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Ikan_Merah_20260907,Ikan Merah,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,53.495000000000005,53.55,52.46,54.64,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Ikan_Merah_20260914,Ikan Merah,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,53.495000000000005,53.63,52.5,54.76,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Jenahak_20260824,Jenahak,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,45.99,45.99,45.14,46.84,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Jenahak_20260831,Jenahak,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,45.99,45.99,45.14,46.84,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Jenahak_20260907,Jenahak,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,45.99,45.99,45.14,46.84,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Jenahak_20260914,Jenahak,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,45.99,45.99,45.14,46.84,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Kembung_Pelaling_20260824,Kembung / Pelaling,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,15.9,15.9,14.89,16.91,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Kembung_Pelaling_20260831,Kembung / Pelaling,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,15.9,15.9,14.89,16.91,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Kembung_Pelaling_20260907,Kembung / Pelaling,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,15.9,15.9,14.89,16.91,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Kembung_Pelaling_20260914,Kembung / Pelaling,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,15.9,15.9,14.89,16.91,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Kerisi_20260824,Kerisi,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,16.99,16.95,16.25,17.65,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Kerisi_20260831,Kerisi,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,16.99,16.95,16.21,17.69,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Kerisi_20260907,Kerisi,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,16.99,16.95,16.17,17.73,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Kerisi_20260914,Kerisi,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,16.99,16.95,16.13,17.77,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Pelata_20260824,Pelata,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,19.9,19.9,18.91,20.89,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Pelata_20260831,Pelata,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,19.9,19.9,18.91,20.89,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Pelata_20260907,Pelata,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,19.9,19.9,18.91,20.89,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Pelata_20260914,Pelata,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,19.9,19.9,18.91,20.89,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Selar_Kuning_20260824,Selar Kuning,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,13.395,13.39,12.78,14.01,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Selar_Kuning_20260831,Selar Kuning,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,13.395,13.39,12.78,14.01,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Selar_Kuning_20260907,Selar Kuning,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,13.395,13.39,12.78,14.01,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Selar_Kuning_20260914,Selar Kuning,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,13.395,13.39,12.78,14.01,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Siakap_Putih_20260824,Siakap Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,20,20,19.1,20.9,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Siakap_Putih_20260831,Siakap Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,20,20,19.1,20.9,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Siakap_Putih_20260907,Siakap Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,20,20,19.1,20.9,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Siakap_Putih_20260914,Siakap Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,20,20,19.1,20.9,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Tenggiri_20260824,Tenggiri,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,49.99,49.99,47.33,52.65,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Tenggiri_20260831,Tenggiri,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,49.99,49.99,47.33,52.65,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Tenggiri_20260907,Tenggiri,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,49.99,49.99,47.33,52.65,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
Tenggiri_20260914,Tenggiri,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,49.99,49.99,47.33,52.65,AROUND_CURRENT_LEVELS,No strong directional signal,SPARSE_DATA,2026-08-30T22:48:38Z
